"name","description"
"Hang","idiophones,  pitched percussion,  (111.24)"
"Hano","aerophones, nose flute, woodwinds, Hawaii (421.111.12  )"
"Hardanger fiddle","chordophones,  stringed instruments, Norway (3)"
"Harmoneon ","aerophones, accordion, free reed instruments, Hawaii (421.132)"
"Harmonica","aerophones, harmonica, free reed instruments, Germany (412.132)"
"Harmonico","chordophones,  stringed instruments,  (3)"
"Harmonium","aerophones, reed organ, free reed instruments, Denmark (412.132)"
"Harp guitar","chordophones,  stringed instruments, France (3)"
"Harp ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Harp","chordophones,  stringed instruments, Worldwide (3)"
"Harpsichord","chordophones,  stringed instruments, Western Europe (3)"
"Hatun charango","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Heckelphone","aerophones, oboe, English horn, reed instruments, Germany (422.112.2)"
"Hegelong","chordophones,  stringed instruments, Philippines (3)"
"Helicon","aerophones, trumpet, brass instruments, Europe (423.232)"
"Hira-daiko","membranophones, drum, percussion, Japan (1)"
"Horagai","aerophones, conch, trumpets, Japan (423.111.2)"
"Hosaphone","aerophones, tube trumpet, natural trumpets,  (423.1)"
"Hotchiku","aerophones, end-blown flute, woodwinds, Japan (421.111.12)"
"Houguan","aerophones, oboe, reed instruments, China (422.111.2)"
"Hualaycho","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Huapanguera","chordophones,  stringed instruments, Mexico (3)"
"Huluhu","chordophones,  stringed instruments, China (3)"
"Hulusi","aerophones, harmonica, free reed instruments, China (412.132)"
"Hun","aerophones, ocarina, fipple flutes, Korea (421.221.42)"
"Huqin","chordophones,  stringed instruments, China (3)"
"Hurdy-gurdy","chordophones,  stringed instruments, Austria, Belarus, Czech, England, France, Germany, Hungary, Ireland, Italy, Poland, Portugal, Russia, Slovakia, Spain, Switzerland, Ukraine (3)"
"Hydraulophone","other drums"
"Hyperbass flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Idakka ","membranophones, Talking drum, percussion, Southern India (211.242.1)"
"Igil","chordophones,  stringed instruments, Tuva (321.321)"
"Ilimba drum","membranophones, gourd drum, percussion, Zimbabwe (211.11)"
"Inci","aerophones, tumpong, fipple flutes, Philippines (421.221.12)"
"Ingoma Igihumurizo","membranophones, drum, percussion, Rwanda (211.212)"
"Ingoma Inyahura","membranophones, drum, percussion, Rwanda (211.212)"
"Ingoma Ishakwe","membranophones, drum, percussion, Rwanda (211.212)"
"Inline ocarina","aerophones, ocarina, fipple flutes, Italy (421.221.42)"
"Irish bouzouki","chordophones,  stringed instruments, Greece, Ireland (321.322)"
"Irish flute","aerophones, flute, woodwinds, Ireland (421.121.12)"
"Jammer keyboard",""
"Janggu (Janggo, changgo)","membranophones, drum, percussion, Korea (211.242)"
"Janzi","chordophones,  stringed instruments, Uganda (3)"
"Jarana huasteca","chordophones,  stringed instruments, Mexico (3)"
"Jarana jarocho","chordophones,  stringed instruments, Mexico (3)"
"Jarana mosquito","chordophones,  stringed instruments, Mexico (3)"
"Jarana segunda","chordophones,  stringed instruments, Mexico (3)"
"Jarana tercera","chordophones,  stringed instruments, Mexico (3)"
"Jazz flute","aerophones, whistle, fipple flutes, England (421.121.312 )"
"Jew's harp","membranophones,  percussion, China (121.22)"
"Jiaohu","chordophones,  stringed instruments, China (3)"
"Jug","aerophones, conch, trumpets, North America (423.111.1)"
"Junjung","membranophones,  percussion, Gambia, Senegal (2)"
"Kabosy","chordophones,  stringed instruments, Madagascar (3)"
"Kadlong","chordophones,  stringed instruments, Philippines (3)"
"Kagurabue","aerophones, flute, woodwinds, Japan (421.121.12)"
"Kakko","membranophones, drum, percussion, Japan (2)"
"Kalaleng","aerophones, nose flute, woodwinds, Philippines (421.111.12  )"
"Kamancha","chordophones,  stringed instruments, Persia (3)"
"Kanjira","membranophones, frame drum, percussion, India (211.311 )"
"Kantele","chordophones,  stringed instruments, Finland (314.122-5)"
"Kaval","aerophones, end-blown flute, woodwinds, Bashkortostan, Turkey (421.111.12)"
"Kayamb", "idiophones, Africa"
"Kazoo","aerophones, Whistle, Woodwind, US (–)"
"Kebero","membranophones,  percussion, Ethiopia (2)"
"Kemanak","idiophones,  unpitched percussion, Indonesia"
"Kemenche","chordophones,  stringed instruments, Turkey (3)"
"Kendang","membranophones, drum, percussion, Indonesia  (211.222)"
"Key bugle","aerophones, trumpet, brass instruments,  (423.21)"
"Keyboard",""
"Keyed ocarina","aerophones, ocarina, fipple flutes, Italy (421.221.42)"
"Keytar",""
"Khartal","idiophones,  Mauritius, Réunion"
"Khene","aerophones, harmonica, free reed instruments, Laos (412.132)"
"Khim","chordophones,  stringed instruments, Thailand/Cambodia (3)"
"Khloy","aerophones, recorder, fipple flutes, Cambodia (421.221.12)"
"Khlui","aerophones, recorder, fipple flutes, Thailand (421.221.12)"
"Khol (Mrdanga)","membranophones, drum, percussion, India (211.232)"
"KhonKhota","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Kobza","chordophones,  stringed instruments, Ukraine (3)"
"Kokle","chordophones,  stringed instruments, Latvia (314.122-5)"
"Kokyū","chordophones,  stringed instruments, Japan (3)"
"Komabue","aerophones, flute, woodwinds, Japan (421.121.12)"
"Komuz","chordophones,  stringed instruments, Azerbaijan, Dagestan, Hungary, Khakassia, Kyrgyzstan, Turkmenistan, Uzbekistan (3)"
"Koncovka","aerophones, recorder, fipple flutes, Slovakia (421.221.12)"
"Kora","chordophones,  stringed instruments, West Africa (3)"
"Kortholt","aerophones, crumhorn
"Koto","chordophones,  stringed instruments, Japan (3)"
"Koudi","aerophones, flute, woodwinds, China (421.121.12)"
"Kouxian","idiophones,  China (121.2)"
"Kraakdoos",""
"Krakebs","membranophones,  percussion, Algeria, Berbers, Morocco, Saudi Arabia, Tunisia (2)"
"Kubing","chordophones,  stringed instruments, Philippines (3)"
"Kudyapi","chordophones,  stringed instruments, Philippines (3)"
"Kuhlohorn","aerophones, trumpet, brass instruments, Germany (423.232 )"
"Kulintang","idiophones,  Brunei, Indonesia, Malaysia, Philippines"
"Kwitra","chordophones,  stringed instruments, Algeria, Saudi Arabia (3)"
"Kèn bầu","aerophones, oboe, suona, reed instruments, Vietnam (422.112.2)"
"Laba","aerophones, oboe, reed instruments, China (422.112.2)"
"Lambeg drum","membranophones, bass drum, percussion, Ireland (211.212)"
"Langeleik","chordophones,  stringed instruments, Norway (3)"
"Laouto","chordophones,  stringed instruments, Greece (321.321-6)"
"Lap steel guitars","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Lap steel ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Laruan","chordophones,  stringed instruments, China (3)"
"Laser harp",""
"Launeddas","aerophones, clarinet, reed instruments, Italy, Sardinia (422.2)", capped reed, Europe (421.)"
"Lavta","chordophones,  stringed instruments, Armenia, Greece, Turkey (321.321-6)"
"Laúd","chordophones,  stringed instruments, Cuba, Philippines, Spain (321.321)"
"Leiqin","chordophones,  stringed instruments, China (3)"
"Leona","chordophones,  stringed instruments, Mexico (3)"
"Lili'u","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Lirone","chordophones,  stringed instruments, Italy (3)"
"Lituus","aerophones, trumpet, natural trumpets, Europe (423.1)"
"Liuqin","chordophones,  stringed instruments, China (321.321)"
"Livenka","aerophones, accordion, free reed instruments, Russia (412.132)"
"Lokanga","chordophones,  stringed instruments, Madagascar (3)"
"Lur","aerophones, trumpet, natural trumpets, Denmark, Norway (423.121.22)"
"Lusheng","aerophones, harmonica, free reed instruments, China (412.132)"
"Lute guitar","chordophones,  stringed instruments, Germany (3)"
"Lute","chordophones,  stringed instruments, Western Europe (3)"
"Lyra (Byzantine)","chordophones,  stringed instruments, Byzantine Empire (3)"
"Lyra (Cretan)","chordophones,  stringed instruments, Greece (3)"
"Lyra viol","chordophones,  stringed instruments, Spain (321.322-71)"
"Lyre","chordophones,  stringed instruments, England, Greece (321.2)"
"Lyre-guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"MIDI keyboard",""
"Madal","membranophones, drum, percussion, India, Nepal (211.212)"
"Maddale","membranophones, mridangam, percussion, India (211.212)"
"Madhalam","membranophones, mridangam, percussion, India (211.212)"
"Maguhu","chordophones,  stringed instruments, China (3)"
"Maktoum (maktoom, katem)","membranophones, drum, percussion, Afro-Arab (2)"
"Mandobass","chordophones,  stringed instruments,  (3)"
"Mandocello","chordophones,  stringed instruments, Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela (321.321-6 or 321.322-6 )"
"Mandola","chordophones,  stringed instruments,  (3)"
"Mandola","chordophones,  stringed instruments, Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela (321.321-6 or 321.322-6 )"
"Mandolin","chordophones,  stringed instruments, Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela (321.321-6 or 321.322-6 )"
"Mandolin-banjo","chordophones,  stringed instruments, Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela (321.321-6 or 321.322-6 )"
"Mandolute","chordophones,  stringed instruments,  (3)"
"Mandora","chordophones,  stringed instruments, Central Europe (321.321)"
"Mandore","chordophones,  stringed instruments, 	France (321.321)"
"Maraca","idiophones,  unpitched percussion, Venezuela (112.1)"
"Maram","membranophones, drum, percussion, India"
"Marimba","idiophones, keyboard, pitched percussion, Africa, Guatemala, Mexico, Honduras, Nicaragua, & Costa Rica (111.212)"
"Marovany","chordophones,  stringed instruments, Madagascar (3)"
"Mbira","idiophones, keyboard, pitched percussion, Africa, Equatorial Guinea, Zimbabwe (122.1)"
"Medieval slide trumpet","aerophones, trumpet, brass instruments, Europe (423.21/22)"
"Mejoranera","chordophones,  stringed instruments, Panama (321.322)"
"Mellophone","aerophones, trumpet, brass instruments, Europe (423.232)"
"Mellotron",""
"Melodeon","aerophones, reed organ, free reed instruments, US (412.132)"
"Melodica","aerophones, reed organ, free reed instruments, Italy (412.132)"
"Mexican vihuela","chordophones,  stringed instruments, Mexico (3)"
"Mezzo-soprano saxophone (Alto in F)","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Mezzo-soprano","aerophones, human voice, vocal registers,  (43)"
"Mijwiz","aerophones, clarinet, reed instruments, Saudi Arabia (422.2)"
"Mirwas","membranophones,  percussion, Bahrain, Brunei, Indonesia, Oman, Saudi Arabia, Yemen"
"Mizmar","aerophones, oboe, reed instruments, Algeria, Saudi Arabia, Tunisia (422.112.2)"
"Mizwad","aerophones, bagpipe, reed instruments, Saudi Arabia"
"Mohan veena","chordophones,  stringed instruments, India (3)"
"Moquegua","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Moraharpa","chordophones,  stringed instruments, Sweden"
"Morin khuur","chordophones,  stringed instruments, Mongolia, Tuva (3)"
"Mridangam","membranophones, drum, percussion, India (211.212)"
"Multi chambered ocarina","aerophones, ocarina, fipple flutes, Italy (421.221.42)"
"Multi-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Musette de cour","aerophones, bagpipe, reed instruments, France (422)"
"Musical bow","chordophones,  stringed instruments, South Africa (3)"
"Nadaswaram","aerophones, oboe, shehnai, reed instruments, South India (422.112.2 )"
"Nagak","aerophones, conch, trumpets, Korea  (423.111)"
"Nagara","membranophones, drum, percussion, Asia, Azerbaijan, Dagestan, Iran, Turkey, Turkmenistan (2)"
"Naqareh","membranophones, drum, percussion, Azerbaijan, India, Saudi Arabia, Turkey, Turkmenistan, Uzbekistan (2)"
"National Steel","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Natural trumpet","aerophones,  brass instruments, Denmark, Norway (423.1)"
"Ney","aerophones, end-blown flute, woodwinds, Iran (421.111.12 )"
"Nguru","aerophones, nose flute, woodwinds, New Zealand (421.111.12  )"
"Nine-string guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Nohkan","aerophones, flute, woodwinds, Iran (421.121.12)"
"Nose flute","aerophones, nose flute, woodwinds, Polynesia, Africa, East Asia (421.111.12)"
"Nplooj","aerophones, leaf, woodwinds, Hmong people (China) (421.111.12)"
"Nulophone","aerophones, flute, woodwinds, Khyber Pakhtunkhwa (Pakistan) (421.111.12)"
"Nyckelharpa","chordophones,  stringed instruments, Sweden (321.322-71)"
"O-daiko","membranophones, drum, percussion, Japan (2)"
"Oboe d'amore","aerophones, reed instruments, oboe, Western Europe (422.112-71)"
"Oboe da caccia","aerophones, reed instruments, oboe, Western Europe (422.112-71)"
"Oboe","aerophones, reed instruments, oboe, Western Europe (422.112-71)"
"Ocarina","aerophones, ocarina, fipple flutes, Italy (421.221.42)"
"Octa-Vibraphone","idiophones, keyboard, percussion, United States"
"Octaban","membranophones, boobam, percussion, US (211.211.1)"
"Octave guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Octave mandolin","chordophones,  stringed instruments, Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela (321.321-6 or 321.322-6 )"
"Octavin","aerophones, clarinet, reed instruments, Germany (422.2)"
"Octobass","chordophones,  stringed instruments, France (3)"
"Octocontra-alto clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Octocontrabass clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Okedo-daiko","membranophones, drum, percussion, Japan (2)"
"Omnichord",""
"Ondes Martenot",""
"Ophicleide","aerophones, trumpet, brass instruments, France (423.21)"
"Orchestral harmonica","aerophones, harmonica, free reed instruments, Germany (412.132)"
"Otamatone",""
"Oud","chordophones,  stringed instruments, Armenia, Azerbaijan, Greece, Iran, Kurdistan, Saudi Arabia, Turkey (321.321-6)"
"Overtone zither","chordophones,  stringed instruments, Belarus, Croatia, Czech, Germany, Hungary, Poland, Russia, Slovakia, Slovenia, Switzerland, Ukraine, (314.122)"
"Padayani thappu","membranophones, frame drum, percussion, India (211.311)"
"Paixiao","aerophones, pan flute, woodwinds, China (421.112)"
"Pakhavaj","membranophones, mridangam, percussion, India (211.212)"
"Palendag","aerophones, end-blown flute, woodwinds, Philippines (421.111.12)"
"Pampeno","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Pan flute","aerophones, pan flute, woodwinds, South America (421.112)"
"Pandero","membranophones, frame drum, percussion, Dominican (211.3)"
"Paqin","chordophones,  stringed instruments, China (3)"
"Parai","membranophones, frame drum, percussion, India (211.311)"
"Pardessus de viole","chordophones,  stringed instruments, Spain (321.322-71)"
"Parlor guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Pasiyak","aerophones, recorder, fipple flutes, Philippines (4)"
"Pate","idiophones, slit drum,  Polynesia (111.24)"
"Pavari","aerophones, flute, woodwinds, India (421.121.12 )"
"Pea whistle","aerophones, whistle, fipple flutes,  (421.221.11)"
"Pedal piano","chordophones,  stringed instruments, Italy (3)"
"Pedal steel guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Pendant ocarina","aerophones, ocarina, fipple flutes, Italy (421.221.42)"
"Piano (pianoforte)","chordophones,  stringed instruments, Italy (3)"
"Piano accordion","aerophones, accordion, free reed instruments, Europe (412.132)"
"Pibgorn","aerophones, clarinet, reed instruments, Wales (422.2)"
"Picco pipe","aerophones, recorder, fipple flutes, Western Europe (421.221.12)"
"Piccolo clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Piccolo heckelphone","aerophones, oboe, English horn, reed instruments, Germany (422.112.2)"
"Piccolo oboe/Oboe musette","aerophones, reed instruments, oboe, Western Europe (422.112-71)"
"Piccolo trumpet","aerophones, trumpet, brass instruments, Western Europe (423.232)"
"Piccolo violino","chordophones,  stringed instruments, Italy and Western Europe (321.322-71)"
"Piccolo","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Pipa","chordophones,  stringed instruments, China (3)"
"Pipe organ (diaphone pipes)","aerophones, reed organ/recorder, free reed instruments,  (412.132)"
"Pipe organ (flue pipes)","aerophones, recorder, fipple flutes,  (421.221.11)"
"Pipe organ (free reed pipes)","aerophones, reed organ, free reed instruments,  (412.132)"
"Pipe organ (reed pipes)","aerophones, organ, reed instruments,  (422.112)"
"Pitch pipe","aerophones, pitch pipe, free reed instruments,  (412.131)"
"Piwancha","chordophones,  stringed instruments, Nepal (3)"
"Plasmaphone","other drums"
"Plectrum banjo","chordophones,  stringed instruments, North America (3)"
"Pochette","chordophones,  stringed instruments,  (3)"
"Pocket cornet","aerophones, trumpet, brass instruments,  (423.232)"
"Pocket trumpet","aerophones, trumpet, brass instruments, United States of America (423.232)"
"Pocket ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Portuguese guitar","chordophones,  stringed instruments, Portugal (3)"
"Post horn","aerophones, trumpet, brass instruments, Western Europe (423.121.22)"
"Psaltery","chordophones,  stringed instruments, Greece (3)"
"Pu","aerophones, conch, trumpets, Polynesia (423.111)"
"Pulalu","aerophones, end-blown flute, palendag, woodwinds, Philippines (421.111.12)"
"Pyrophone","other drums"
"Qanun","chordophones,  stringed instruments, Armenia, Egypt, Greece, Saudi Arabia, Turkey (3)"
"Qeej","aerophones, end-blown flute, woodwinds, Hmong people (China) (421.111.12)"
"Qilaut","membranophones,  percussion, North American, Nunavut (2)"
"Qinqin","chordophones,  stringed instruments, China (3)"
"Quadruple-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Quena","aerophones, end-blown flute, woodwinds, South America (421.111.12)"
"Quintephone","other drums"
"Quinticlave","aerophones, trumpet, ophicleide, brass instruments,  (423.21)"
"Rabeca","chordophones,  stringed instruments, Brazil (3)"
"Rackett","aerophones, oboe, reed instruments, Western Europe (422.111.2)"
"Raj","aerophones, harmonica, free reed instruments, Hmong people (China) (412.132)"
"Rajão","chordophones,  stringed instruments, Portugal (3)"
"Ralé-poussé","aerophones, accordion, free reed instruments, Réunion"
"Rapping","aerophones, human voice, vocal techniques,  (43)"
"Rauschpfeife","aerophones, oboe, reed instruments, Europe (422.112.2)"
"Ravanahatha","chordophones,  stringed instruments, Sri Lanka, India (4)"
"Rebab","chordophones,  stringed instruments, Afghanistan (3)"
"Rebana","membranophones, frame drum, percussion, Brunei, Indonesia, Malaysia (211.311)"
"Rebec","chordophones,  stringed instruments, Italy, Switzerland (321.21-71)"
"Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Reed contrabass","aerophones, oboe, reed instruments, Belgium (422.112.2)"
"Reed organ","aerophones, reed organ, free reed instruments,  (412.132)"
"Renaissance slide trumpet","aerophones, trumpet, brass instruments, Europe (423.21/22)"
"Repique","membranophones, drum, percussion, Brazil (2)"
"Requinto jarocho","chordophones,  stringed instruments, Mexico (3)"
"Resonator mandolin","chordophones,  stringed instruments, Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela (321.321-6 or 321.322-6 )"
"Resonator ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Resophonic guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Rhaita","aerophones, oboe, reed instruments, Northern Africa (422.112.2)"
"Robero","aerophones, clarinet, reed instruments, Spain (422.2)"
"Rock Ock","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Roman tuba","aerophones, trumpet, brass instruments, Etruscan (423.121.11)"
"Romantic guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Ronroco","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Rotary valve trumpet","aerophones, trumpet, brass instruments,  (423.232 )"
"Ruan","chordophones,  stringed instruments, China (3)"
"Rubab","chordophones,  stringed instruments, Afghanistan, Pakistan, Azerbaijan, India, Iran, Turkey, Iraq, Tajikistan, and Uzbekistan (3)"
"Rudra vina","chordophones,  stringed instruments, India (3)"
"Russian guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Ryuteki","aerophones, flute, woodwinds, Japan (421.121.12)"
"Sabar","membranophones, drum, percussion, Gambia, Senegal (2)"
"Sac de gemecs","aerophones, bagpipe,  Andorra, Catalonia"
"Sackbut","aerophones, trombone, brass instruments, France (423.22)"
"Saenghwang","aerophones, harmonica, free reed instruments, Korea (412.132)"
"Sallameh","chordophones,  stringed instruments, Iran (3)"
"Sambal","membranophones, drum, percussion, India (2)"
"Samphor","membranophones, barrel drum, percussion, Cambodia (2)"
"Sampler",""
"Samponia","aerophones, pan flute, woodwinds, Peru (421.112)"
"Sanshin","chordophones,  stringed instruments, Okinawa (3)"
"Santoor","chordophones,  stringed instruments, Iran (3)"
"Sanxian","chordophones,  stringed instruments, China (3)"
"Sarangi","chordophones,  stringed instruments, India (3)"
"Saratovskaya garmonika","aerophones, accordion, free reed instruments, Russia (412.132)"
"Sarod","chordophones,  stringed instruments, India (3)"
"Sarrusophone","aerophones, oboe, reed instruments, France (422.112.2)"
"Saung","chordophones,  stringed instruments, Burma (3)"
"Saw sam sai","chordophones,  stringed instruments, Thailand (3)"
"Saxhorn","aerophones, trumpet, brass instruments, Belgium (423.231)"
"Saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Saxotromba","aerophones, trumpet, brass instruments, Belgium (423.231)"
"Saxtuba","aerophones, trumpet, brass instruments, Belgium (423.231)"
"Scat singing","aerophones, human voice
"Schrammel accordion","aerophones, accordion, free reed instruments, Europe (412.132)"
"Schwyzerörgeli","aerophones, accordion, free reed instruments, Switzerland (412.132)", vocal techniques,  (43 )"
"Se","chordophones,  stringed instruments, China (3)"
"Sea organ","other drums"
"Seaboard music instrument",""
"Selmer guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Semi-acoustic guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Serpent","aerophones, trumpet, cornett, brass instruments, France (423.21)"
"Setar (lute)","chordophones,  stringed instruments, Azerbaijan, Iran (321.321)"
"Seul","chordophones,  stringed instruments, Korea (3)"
"Seven-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Seven-string guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Shakuhachi","aerophones, end-blown flute, woodwinds, Japan (421.111.12)"
"Shamisen","chordophones,  stringed instruments, Japan (3)"
"Shankha","aerophones, conch, trumpets, India (423.111)"
"Shawm","aerophones, oboe, reed instruments, Switzerland (422.112.2)"
"Shehnai","aerophones, oboe, reed instruments, North India (422.112.2 )"
"Shekere","idiophones,  percussion, Brazil, Burkina Faso, Cuba, Gambia, Guinea, Guinea-Bissau, Ivory Coast, Mali, Nigeria, Senegal (112.122)"
"Sheng","aerophones, harmonica, free reed instruments, China (412.132)"
"Shime-daiko","membranophones, drum, percussion, Japan (2)"
"Shinobue","aerophones, flute, woodwinds, Japan (421.121.12)"
"Shishi odoshi","other drums, Japan"
"Shofar","aerophones, trumpet, natural trumpets, Levant (423.121.21)"
"Shreiker","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Shvi","aerophones, recorder, fipple flutes, Armenia (421.221.12)"
"Shō","aerophones, harmonica, free reed instruments, Japan (412.132)"
"Siku","aerophones, pan flute, woodwinds, Bolivia (421.112)"
"Silent guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Sintir","chordophones,  stringed instruments, Algeria, Morocco (3)"
"Siren","aerophones, siren, noise makers, Scotland (41)"
"Sitar","chordophones,  stringed instruments, India (321.321)"
"Sitarla","chordophones,  stringed instruments, Japan (3)"
"Six-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Six-string tenor","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Six-stringed banjo","chordophones,  stringed instruments, North America (3)"
"Skoog",""
"Slide guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Slide ocarina","aerophones, ocarina, fipple flutes, Italy (421.221.42)"
"Slide trumpet","aerophones, trumpet, brass instruments, Europe (423.21/22)"
"Slide whistle","aerophones, whistle, fipple flutes, England (421.121.312 )"
"Slit drum","idiophones,   (111.24)"
"Snare drum","membranophones, drum, percussion,  (211.212.11)"
"Sneng","aerophones, hornpipe, reed instruments, Cambodia (422.212)"
"Sodina","aerophones, end-blown flute, woodwinds, Madagascar (421.111.12)"
"Sonko","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Sopila","aerophones, oboe, reed instruments, Croatia (422.112.2)"
"Sopranino Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Sopranino clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Sopranino sarrusophone","aerophones, oboe, reed instruments, France (422.112.2)"
"Sopranino saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Sopranino trombone","aerophones, trombone, brass instruments, Western Europe (423.22)"
"Soprano clarinet","aerophones, clarinet, reed instruments, Germany (422.2)"
"Soprano cornet","aerophones, trumpet, brass instruments, France (423.232)"
"Soprano sarrusophone","aerophones, oboe, reed instruments, France (422.112.2)"
"Soprano saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Soprano trombone","aerophones, trombone, brass instruments, Western Europe (423.22)"
"Soprano trumpet","aerophones, trumpet, brass instruments,  (423.232 )"
"Soprano ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Soprano","aerophones, human voice, vocal registers,  (43)"
"Soprillo","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Sorna","aerophones, oboe
"Sousaphone","aerophones, trumpet, tuba, brass instruments, US (423.232)"
"Spoon","idiophones, unpitched percussion, Greece, Russia, Turkey (111.14)"
"Sralai","aerophones, oboe, reed instruments, Cambodia (422.112.2)"
"Steam whistle","aerophones, whistle, fipple flutes,  (421.221.11)"
"Steel guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Steel-string acoustic guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Steelpan","idiophones, steelpan, pitched percussion, Trinidad & Tobago (111.24)"
"Steirische Harmonika","aerophones, accordion, free reed instruments, Europe (412.132)"
"Stroh violin","chordophones,  stringed instruments, Italy and Western Europe (321.322-71)"
"Sub-subcontrabass Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Subcontra bass Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Subcontrabass flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Subcontrabass saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Subcontrabass tuba","aerophones, trumpet, brass instruments, Germany (423.232)"
"Sudrophone","aerophones, trumpet, ophicleide, brass instruments, France (423.21)"
"Suikinkutsu","other drums, Japanese water zither"
"Suling","aerophones, end-blown flute, woodwinds, Indonesia/Philippines (421.111.12)", reed instruments, Iran (422.112.2 )"
"Suona","aerophones, oboe, reed instruments, China (422.112.2)"
"Superbone","aerophones, trombone, brass instruments, Canada (423.22)"
"Surbahar","chordophones,  stringed instruments, India (321.321)"
"Surdo","membranophones, bass drum, percussion, Brazil (2)"
"Surnay","aerophones, oboe, reed instruments, Turkey (422.112.2)"
"Swanee whistle","aerophones, whistle, fipple flutes, England (421.121.312 )"
"Swarmandal","chordophones,  stringed instruments, China (3)"
"Swordblade","aerophones, whip, noise makers,  (411)"
"Synclavier",""
"Synthesizer",""
"Tabl","membranophones, bass drum, percussion, Turkey (211.212)"
"Tabla","membranophones, drum, percussion, Afghanistan, Bangladesh, India, Nepal, Pakistan, Sri Lanka (211.12)"
"Tabor pipe","aerophones, recorder, fipple flutes, Western Europe (421.221.12)"
"Taepyeongso","aerophones, oboe, suona,, reed instruments, Korea (422.112.2)"
"Tahitian ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
